••O( 0 AT&T LTE,,
10:06 PM 11 74% Mi,,
a docs.google.com,,
JOHN C. FREMONT MIDDLE SCHOOL SUPP,,
7th Grade Supply List,,
3 -Ring Binder Large,Ring Binder,3
College rule notebook paper,,
3 - Spiral notebooks,Spiral notebooks,3
Spiral graph paper notebook (STAPLES),graph paper,1
Graph paper,Graph paper,Multiple
"Red and black pens,",Red and pens,Multiple
(no permanent markers),permanent markers,Multiple
Pencil Pouch,Pencil Pouch,1
1 ruler with both Metric & Standard,ruler,1
Pencils #2 (1 box),Pencils,2
Eraser,Eraser,1
"1 each: Yellow, Green, Blue & Pink Highlighter", Highlighter,1
1 box of colored pencils,colored pencils,1
Basic calculator with name clearly marked,calculator,1
Flash drive/thumb drive 4G or bigger,Flash drive thumb drive bigger,1
(recommended for computer work),,
