Grade: 3 .
CRAYOLA COLORED PENCILS PRE -SHARPENED 12CT,CRAYOLA COLORED PENCILS SHARPENED,Multiple
CRAYOLA CRAYONS 24CT,CRAYOLA CRAYONS,Multiple
PENCILS #2 YEI I OW WOODCASE SHARPENED 12CT (5),PENCILS SHARPENED,Multiple
CRAYOLA WASH MARKERS BROAD TIP CLASSIC COLORS BCT,CRAYOLA WASH MARKERS BROAD TIP CLASSIC COLORS,Multiple
SHARPIE PERM MARKER FINE POINT BLACK,SHARPIE PERM MARKER FINE POINT BLACK,1
SHARPIE PERM MARKER CHISEL TIP BLACK,SHARPIE PERM MARKER CHISEL TIP BLACK,1
EWER'S SMALt GLUE STICK PURPLE -DRIES CLEAR 18,EWER GLUE STICK PURPLE DRIES CLEAR,18
"F1SKARS SCISSORS POIN 1 tD 5""",SCISSORS,5
2 -POCKET FOLDER POLY W/OUT CLASP ORANGE,POCKET FOLDER OUT CLASP ORANGE,2
2 -POCKET FOLDER POLY W/OUT CLASP BLUE,POCKET FOLDER OUT CLASP BLUE,2
2-POCKE1 FOLDER POLY W/OUT CLASP PURPLE,FOLDER OUT CLASP PURPLE,2
2 -POCKET FOLDER POLY W/OUT CLASP GREEN,POCKET FOLDER OUT CLASP GREEN,2
MEAD COMPOSITION BK I WIDE RULE) BLK 100CT 9.75X7.5 (4),MEAD COMPOSITION WIDE RULE,5
PAPERMATE PEN STICK MED PT RED (2),PEN STICK MED RED,1
EXPO LOW ODOR DRY ERASE MARKER CHISEL TIP BLACK (4)
PAPERMATE PEN STICK MED PT BLUE (2),PEN STICK MED BLUE,1
-SELF STICK NOTES ASST PASTEL 3X3 100CT(4)
PAPERMATE PINK PEARL LATEX -FREE ERASER (3),PINK PEARL LATEX FREE ERASER,1
STENO PAD GREGG RULE WHITE PAPER 80CT 6X9,STENO PAD GREGG RULE WHITE PAPER,1
